,FIPS_CLEANED,FIPS,Cases,Deaths,Lat,Long,State,County,POPUNI,Total_Population,Zero_RF,One-Two_RF,Three_RF,Housing_Units,Hispanic_Pop,White_Pop,Black_Pop,Native_Pop,Asian_Pop,Pacific_Islander_Pop,Other_race_Pop,Bi_Tri_Racial_Pop,Male_Pop,Female_Pop,Veteran,Gini_Ind_Income,Rural_Pop,Median_Age_Pop,Age_65+_Pop,Disability_Pop,Below_Poverty_Level,Single_Mothers_Pop,Single_Fathers_Pop,1.51_plus_family_homes,HighSchool_Grad,Multilingual_5yrs_Plus,Full_time_workers,No_Health_Insur,Internet_homes,No_Vehicle,Homeowner_Vacancy,Rental_Vacancy
12,01025,1025,8529,63744,31.68099859,-87.83548597, Alabama,Clarke County,23522,24128,5797,10278,7447,12784,70,12396,10773,23,94,0,0,141,11125,12396,1458,121,17872,9996,4563,4281,5457,1129,493,23,18958,141,9150,2281,13525,1905,329,1058
13,01027,1027,5134,54527,33.26984193,-85.85836077, Alabama,Clay County,13159,13337,3217,5728,4214,6799,407,10579,2039,0,26,0,13,92,6355,6803,789,60,13159,5697,2658,2289,2355,1131,223,118,10092,13,6039,1355,9224,631,263,644
14,01029,1029,4393,43219,33.67679204,-85.52005899, Alabama,Cleburne County,14819,14916,5228,6006,3585,6844,370,13737,400,14,0,0,14,281,7261,7557,903,67,14819,6386,2874,3245,2563,400,44,14,11707,177,6713,1822,9528,740,148,903
15,01031,1031,17094,136984,31.39932826,-85.98901039, Alabama,Coffee County,52203,51662,17942,21267,12994,23188,3810,36594,8770,626,730,0,52,1618,25736,26466,8561,225,24639,20515,8613,9292,7882,4019,887,104,44842,1200,26153,5115,41762,3079,1096,3497
16,01033,1033,21197,155445,34.69847452,-87.80168544, Alabama,Colbert County,55083,54771,18099,22141,14843,26588,1542,43074,8868,330,275,55,55,936,26439,28643,4902,246,24175,23355,10686,10190,8537,2974,550,0,46930,550,26660,3965,38613,3029,771,5783
17,01035,1035,3589,41483,31.43401703,-86.99320044, Alabama,Conecuh County,12022,12394,3630,4119,4273,7182,84,6011,5746,24,60,0,0,96,5890,6131,709,51,9731,5385,2668,2692,2115,1045,72,48,10134,0,5025,1526,6335,817,240,2464
18,01037,1037,3755,33389,32.93690146,-86.24847739, Alabama,Coosa County,10511,10757,2829,4131,3551,6585,105,6811,3531,10,0,0,52,0,5339,5171,1093,47,10511,5087,2375,2407,1418,378,0,126,8408,52,4750,840,7305,420,388,367
19,01039,1039,11765,141132,31.2477854,-86.45050893, Alabama,Covington County,36877,37200,10089,15065,11723,18976,626,30718,4941,36,147,36,0,405,17811,19065,3687,169,25684,15967,7670,7781,6859,2397,221,147,30755,110,17700,4093,26072,1991,848,2433
20,01041,1041,4730,63378,31.72941803,-86.31593104, Alabama,Crenshaw County,13772,13844,3542,5703,4527,6815,110,9778,3181,96,179,13,0,426,6706,7065,908,67,13772,5742,2589,2823,2093,826,151,27,10907,165,6169,1198,8965,936,179,1446
21,01043,1043,31438,219365,34.13020303,-86.86888037, Alabama,Cullman County,83277,82853,25997,36832,20448,37842,3664,76531,999,249,333,0,83,1498,40972,42304,6662,367,60992,33977,15156,14740,12408,3747,1249,582,67954,1332,39639,9243,61708,3164,1665,5662
22,01045,1045,16436,141417,31.43037123,-85.61095742, Alabama,Dale County,49090,49277,14114,21082,13894,23103,3190,33675,9719,294,589,0,147,1472,24201,24888,8050,219,24981,18310,8050,10407,8639,2896,539,245,42266,1079,23514,5694,37799,2405,736,4712
23,01047,1047,10935,154379,32.32688101,-87.1086671, Alabama,Dallas County,36952,39149,9377,14920,12655,20419,406,10087,26014,36,221,0,0,184,17034,19917,2254,173,16864,14632,6429,6503,10753,4027,332,258,30226,110,15778,4101,25755,5173,997,2364
24,01049,1049,22466,199332,34.45946862,-85.80782906, Alabama,DeKalb County,71306,71310,22907,28714,19685,31309,10410,57330,998,784,71,142,0,1497,35296,36009,4492,336,64268,28165,11908,9626,15045,3565,926,356,53336,3921,33727,9768,51340,3707,1354,3921
25,01051,1051,29745,217944,32.59785413,-86.14415284, Alabama,Elmore County,77512,81144,29122,30362,18028,34165,2325,56738,16432,232,387,0,155,1240,37438,40073,8216,342,42003,29997,11549,13254,8913,4185,775,542,67125,1317,38368,5735,63172,3488,2092,5348
26,01053,1053,12347,100933,31.1256789,-87.15918694, Alabama,Escambia County,34309,37057,9184,14358,10767,16586,789,20654,10978,1372,102,34,34,308,17463,16845,2538,165,21789,13723,6072,6175,7616,2367,171,137,27824,205,13723,4871,20928,1749,686,3122
27,01055,1055,34137,386488,34.04567266,-86.04051873, Alabama,Etowah County,101051,102748,31759,41321,27971,47704,3940,78718,15561,404,707,0,101,1616,48706,52344,8488,464,37873,41835,18896,18593,17582,6568,1010,101,85489,2021,47595,10711,77304,6164,1313,8690
28,01057,1057,5871,60446,33.72076938,-87.73886638, Alabama,Fayette County,16197,16494,4306,6815,5076,8505,291,13686,1814,0,80,0,0,323,7985,8211,1360,74,12994,7078,3368,4227,3142,502,356,97,13378,32,7256,1230,11386,1214,323,1457
29,01059,1059,11996,88028,34.44235334,-87.84289505, Alabama,Franklin County,31274,31466,8663,13728,8883,14052,5379,24018,1344,93,125,0,0,312,15574,15699,1751,133,22007,12071,5285,4691,6067,1782,344,125,24143,2627,15793,3659,19358,1532,969,3659
30,01061,1061,7907,94027,31.09389027,-85.83572839, Alabama,Geneva County,26218,26417,8808,9731,7679,12869,1048,21996,2464,235,104,0,0,367,12741,13476,3041,115,23501,11326,5243,6187,5767,1415,367,78,21053,288,12427,3303,17592,1599,655,1179
31,01063,1063,2292,34790,32.85504247,-87.95684022, Alabama,Greene County,8111,8324,1533,3266,3312,5112,137,1395,6448,32,0,0,0,89,3747,4363,575,41,8111,3317,1727,2003,3090,656,64,32,6423,16,2968,1038,4160,1459,89,56
32,01065,1065,5705,72388,32.76039258,-87.63284988, Alabama,Hale County,14597,14809,3431,6341,4825,7792,0,5765,8670,29,29,0,29,58,6933,7663,1036,72,13016,5911,2744,3094,3532,1007,175,72,12261,58,5940,1386,8977,1459,189,0
33,01067,1067,5837,46292,31.51148016,-85.24267944, Alabama,Henry County,17135,17133,4737,6961,5437,9155,445,11857,4557,34,68,17,0,171,8327,8807,1576,75,15035,7607,3786,3272,2364,736,119,51,13605,85,7676,1679,12868,1079,462,3495
34,01069,1069,32514,303793,31.15197924,-85.29939599, Alabama,Houston County,105267,104702,34095,42801,28371,47457,3473,70002,28211,315,947,0,315,2105,50422,54844,10316,508,35580,42212,18105,18105,19158,8000,1157,315,90529,1157,50107,11053,78844,6526,2421,11895
35,01071,1071,18311,137591,34.78144169,-85.99750489, Alabama,Jackson County,51420,51852,15272,23252,12896,25041,1491,45866,1748,565,205,51,51,1336,25144,26275,3496,232,39603,22162,10026,9924,9564,2622,514,514,42781,308,23858,4884,36456,2211,617,2262
36,01073,1073,237792,1525521,33.55554728,-86.895063, Alabama,Jefferson County,648693,659680,223785,259699,165209,307874,25299,323697,277640,1297,10379,0,1297,9730,306831,341861,46705,3249,63766,244557,99898,99898,103790,50598,7135,2594,584472,16217,324995,59679,515062,49949,10379,58382
37,01075,1075,4716,39177,33.77995024,-88.09668032, Alabama,Lamar County,13753,13885,4016,5802,3935,7403,220,11827,1471,0,13,0,110,110,6725,7027,962,64,13753,6161,2956,3149,2833,701,27,82,11318,68,6642,1457,8650,948,165,1939
38,01077,1077,30323,240313,34.90171875,-87.65624729, Alabama,Lauderdale County,91069,92556,29027,38198,23844,45001,2458,77135,9197,364,546,91,91,1092,43895,47173,7376,419,44897,37338,17940,13387,13296,4280,1001,273,79594,1183,42802,8196,65842,5737,1639,7012
39,01079,1079,9368,99982,34.52041498,-87.31069453, Alabama,Lawrence County,32816,33058,10383,11619,10814,15296,721,25104,3478,1837,65,32,0,1607,15850,16965,1936,144,29957,13913,5939,6989,5906,1312,557,131,26023,262,14603,2986,20345,1936,164,984
40,01081,1081,47500,205914,32.60154883,-85.35132246, Alabama,Lee County,160116,161152,61304,69187,29625,68972,5924,107918,36346,320,6564,0,320,2721,78937,81178,12649,804,43887,51077,18573,20815,31382,9927,1601,2721,145545,4643,71892,12489,131295,7045,2882,11848
41,01083,1083,32058,171305,34.81185586,-86.98310072, Alabama,Limestone County,96560,94727,35386,41676,19498,36056,5793,73868,13132,675,1351,96,0,1641,48183,48376,9462,430,55628,38334,14580,15159,13132,4345,1834,772,81786,2027,45093,9269,77344,2896,1641,9559
42,01085,1085,3358,53929,32.1597283,-86.65158371, Alabama,Lowndes County,9692,10079,1711,4388,3593,5224,48,2393,7210,9,0,0,0,38,4632,5059,368,49,9692,4070,1783,2597,2597,1211,116,19,7588,0,4022,852,5097,1211,164,542
43,01087,1087,5267,53685,32.38759944,-85.69267724, Alabama,Macon County,16594,18708,3591,6940,6063,10296,132,2638,13690,16,33,0,16,82,7616,8977,1443,84,9217,6405,3202,3020,4048,1062,248,33,13573,16,6139,1244,9989,2041,265,1095
44,01089,1089,115627,567970,34.76327133,-86.55069633, Alabama,Madison County,366657,362276,146806,145829,74022,161577,17966,237227,87997,2199,9533,366,1099,10266,178928,187728,42898,1693,60278,141162,53898,48398,45832,21999,4399,1099,336224,8799,196528,30432,316791,17232,4766,22366
45,01091,1091,6078,68784,32.24767634,-87.78796182, Alabama,Marengo County,18794,19321,4654,7296,6844,10348,187,8438,10073,18,0,0,0,75,9039,9754,1184,103,13028,7931,3627,4754,4115,1277,56,37,15749,56,7329,1653,11220,1973,563,1259
46,01093,1093,10094,100280,34.13697363,-87.88704173, Alabama,Marion County,29285,29866,8302,13290,7693,14737,761,26912,995,146,58,0,0,439,14496,14788,1727,134,26019,12973,6179,7643,5124,1464,585,234,23310,292,13353,2547,19210,1727,585,5095
47,01095,1095,32869,239612,34.36975964,-86.30486727, Alabama,Marshall County,96357,95643,30492,40133,25732,40597,13489,77856,2601,385,578,96,96,1445,47600,48756,7901,453,51329,37386,16187,14164,19560,5877,1059,578,78627,7226,44324,11851,76603,4432,2119,3661
48,01097,1097,134503,1023017,30.78472347,-88.20842409, Alabama,Mobile County,409100,414114,130178,172950,105972,183671,11863,232777,145230,3272,7772,0,1636,6545,195140,213959,36409,1947,81901,155048,64637,57683,76910,31091,4091,1227,353871,6954,196777,45819,305188,29046,7772,36000
49,01099,1099,6720,47435,31.56729412,-87.36995001, Alabama,Monroe County,20678,21270,5156,7683,7839,11415,82,11228,8767,351,62,0,0,186,9884,10793,1674,113,16343,8953,3990,3018,5769,1881,144,0,17700,20,7568,2357,8229,2233,62,1137
50,01101,1101,73524,608689,32.2206831,-86.20969272, Alabama,Montgomery County,219377,226941,66055,92203,61119,104697,7678,74368,126799,219,6142,0,219,3729,103545,115831,21279,1081,23012,79853,32029,35100,42559,20840,2632,877,190199,6361,106617,21937,174404,17769,5265,20840
51,01103,1103,46347,303465,34.45500589,-86.85475946, Alabama,Morgan County,118554,119213,36978,52282,29294,52050,9958,89626,15056,592,711,118,118,2489,58328,60225,9602,536,45761,48132,20272,19679,17308,6757,1422,1304,99703,4505,59277,11381,89034,5927,1541,11025
52,01105,1105,2659,28957,32.64048341,-87.29770589, Alabama,Perry County,8349,9293,1935,3334,3080,4736,100,2446,5785,0,8,0,0,0,3832,4516,467,41,8349,3080,1594,1845,2571,651,91,0,6912,8,2588,776,4500,1085,83,133
53,01107,1107,6317,65229,33.28094866,-88.08818103, Alabama,Pickens County,18216,20243,4115,7662,6439,9588,892,9763,7249,18,18,18,0,236,8670,9545,1347,89,18216,7687,3369,4572,4135,1111,236,109,14846,510,7413,1657,12040,1876,200,728
54,01109,1109,9241,81038,31.80396383,-85.9408295, Alabama,Pike County,31132,33333,9048,14258,7826,16123,716,17433,11394,186,684,0,31,716,14912,16219,2210,167,16089,9713,4607,4981,7596,2148,249,124,26462,1245,12359,3019,20640,2179,778,5790
55,01111,1111,6500,48834,33.29526734,-85.45708831, Alabama,Randolph County,22498,22647,7317,8321,6860,12097,652,16940,4432,44,44,0,0,382,10979,11518,1732,108,18299,9764,4589,3914,3802,1034,112,269,17908,134,10686,2047,15703,1462,247,899
56,01113,1113,12995,50135,32.28725256,-85.18415324, Alabama,Russell County,57670,57952,18909,23747,15014,27680,3171,26585,25028,173,519,0,403,1845,27739,29930,7900,268,20420,20934,8016,10957,11937,5132,807,403,48327,1326,27335,6632,41118,5940,2191,7035
57,01115,1115,33164,255680,33.71902176,-86.31029372, Alabama,St. Clair County,88245,87989,29080,39201,19964,36714,2117,75802,8471,264,705,0,0,882,44122,44122,8206,358,64242,35562,14383,14825,10765,3000,1058,352,74655,794,45710,7500,69007,2823,1235,4500
58,01117,1117,77846,275328,33.26879845,-86.66232561, Alabama,Shelby County,215942,213432,92124,86509,37309,86988,12308,168218,25913,647,4534,0,431,3886,104515,111426,16843,948,49537,84865,32175,24401,16195,8637,1727,431,200178,6262,119415,13388,190676,6046,2591,17707
59,01119,1119,3164,35252,32.59117397,-88.19916205, Alabama,Sumter County,11680,12797,2586,4552,4542,6872,58,2896,8397,11,245,0,35,23,5407,6272,548,61,11680,4158,2044,2686,3714,1226,11,0,10126,233,3655,1460,7370,1273,81,128
60,01121,1121,28482,217277,33.37823223,-86.16886178, Alabama,Talladega County,77874,80387,21111,32746,24017,37861,1791,48749,25231,311,467,0,77,1168,37613,40260,6463,363,43469,32161,13627,16119,14873,6307,778,389,62532,1012,33641,7242,57237,6074,2491,3815
61,01123,1123,14566,165351,32.86698258,-85.79833053, Alabama,Tallapoosa County,40221,40541,10667,16669,12885,22421,965,27712,10859,80,160,0,0,442,19426,20794,3499,188,29856,17978,8446,7963,7601,2292,844,723,32458,361,18783,3298,30125,3177,1166,4142
62,01125,1125,70636,488253,33.28726072,-87.52556818, Alabama,Tuscaloosa County,200924,207305,70160,82045,48719,90557,7434,123568,64094,401,3214,0,0,2009,96845,104078,12256,939,51255,66304,25919,25316,35563,15672,2812,803,177415,4621,93228,14466,161542,12055,1004,11653
63,01127,1127,24045,287911,33.80270512,-87.30027177, Alabama,Walker County,63156,64110,18642,25330,19184,31141,1578,56145,3915,126,315,0,126,1010,31009,32146,4926,285,46792,26588,11999,15662,11431,2715,821,189,51661,694,27851,7452,45472,3410,1010,3852
64,01129,1129,4388,39364,31.4092794,-88.20689944, Alabama,Washington County,16259,16541,5665,5373,5221,8554,243,10552,3820,1186,48,0,16,390,8015,8243,1219,81,16259,7105,2991,3609,3430,975,146,32,13429,162,6438,1528,10048,699,48,1040
65,01131,1131,3645,30855,31.98773215,-87.30891118, Alabama,Wilcox County,10335,10681,2447,3513,4375,5777,51,2769,7172,10,0,0,0,320,4847,5487,485,50,10335,4185,1963,1984,3110,713,103,113,7906,93,3679,1126,5549,1612,134,103
66,01133,1133,9405,79562,34.15030532,-87.37325922, Alabama,Winston County,23573,23784,7156,8385,8032,13669,754,22087,165,70,47,23,0,447,11668,11904,1720,112,20011,10654,5021,5704,4148,1131,424,94,18575,306,9570,2899,15511,1249,636,1060
67,02013,2013,1331,2116,55.32222414,-161.9722021, Alaska,Aleutians East Borough,3337,3385,356,1660,1321,1138,300,440,106,1531,657,33,0,266,2005,1331,166,13,3337,1418,313,310,460,216,40,26,2853,750,1428,1545,2082,710,46,313
68,02016,2016,2000,1196,52.3233,-174.1596, Alaska,Aleutians West Census Area,5632,5698,1087,3516,1029,1983,794,1340,191,591,2230,152,5,332,3339,2292,343,19,5632,2173,343,456,382,264,123,281,5040,1019,3869,985,4347,850,67,202
69,02020,2020,124062,291398,61.14998174,-149.1426986, Alaska,Anchorage Municipality,286703,293531,100889,138615,47199,117380,26376,166001,15195,21216,26950,6880,860,23222,146218,140484,36124,1232,11812,96332,30103,32684,25803,14335,5160,4873,269214,16628,153386,32110,258032,17488,4873,20642
70,02050,2050,12883,23858,60.90980451,-159.8561831, Alaska,Bethel Census Area,18183,18134,1737,7594,8852,6027,472,1763,127,15000,200,36,0,563,9509,8673,981,81,13444,4963,1309,2000,5145,1181,636,3418,14710,2509,4618,3691,13328,10146,181,981
71,02060,2060,0,0,58.74513976,-156.701064, Alaska,Bristol Bay Borough,836,875,218,364,254,952,30,425,5,285,1,1,0,86,500,335,96,3,836,358,82,109,60,40,0,13,785,5,443,171,654,103,14,177
72,02068,2068,1802,585,63.67264044,-150.0076108, Alaska,Denali Borough,2097,2246,501,1250,346,1533,6,1765,25,46,54,0,4,195,1121,975,144,7,2097,882,195,312,341,23,37,31,2065,67,1314,387,1885,71,130,222
73,02070,2070,2265,5558,59.79603738,-158.2381942, Alaska,Dillingham Census Area,4914,4961,374,2411,2129,2456,181,756,78,3484,68,4,0,343,2515,2398,201,20,4914,1484,496,619,845,393,221,501,4240,314,1646,1027,3729,1882,39,329
74,02090,2090,33565,75068,64.80726247,-146.5692662, Alaska,Fairbanks North Star Borough,95680,99072,33512,46473,15695,44189,7654,66880,4114,6984,2966,478,95,6410,51571,44108,15787,391,29536,29947,9376,11098,7654,3922,2296,2583,90417,2296,50519,9376,82093,5262,2104,7558
75,02100,2100,806,436,59.09893571,-135.4679843, Alaska,Haines Borough,2530,2518,467,1223,840,1691,113,1960,0,220,32,5,0,197,1302,1227,230,10,2530,1130,635,301,285,30,12,101,2466,17,1295,339,2120,156,197,134
76,02105,2105,0,0,58.29307365,-135.6424424, Alaska,Hoonah-Angoon Census Area,2148,2139,232,1075,841,1643,146,940,64,773,34,0,0,189,1147,1000,234,9,2148,1065,440,343,221,60,23,23,2012,57,695,530,1376,648,96,264
77,02110,2110,11938,11376,58.45031811,-134.200436, Alaska,Juneau City and Borough,31315,32227,11588,13911,5816,13698,2129,20260,313,3225,2035,313,0,3068,16033,15281,2943,124,6745,11931,3914,3569,2411,1283,438,281,30187,1440,16377,3288,28402,2473,532,1064
78,02122,2122,22616,53685,60.24429722,-151.5388884, Alaska,Kenai Peninsula Borough,57717,58464,13788,32342,11587,31249,2424,46115,288,4444,923,173,346,3001,30070,27646,6348,253,45792,23548,9523,8542,6983,2193,1385,1327,53503,981,23433,9234,45885,3636,1385,4271
79,02130,2130,5139,10265,55.57445008,-130.975561, Alaska,Ketchikan Gateway Borough,13802,13800,4205,6641,2956,6401,731,8833,110,1849,1104,27,55,1104,7080,6721,1421,59,3200,5479,2056,2056,1324,607,276,262,12808,634,7370,1573,11704,1739,124,869
80,02150,2150,5870,6596,57.65529415,-153.7493579, Alaska,Kodiak Island Borough,12935,13451,3382,7122,2431,5422,1151,6338,25,1552,2936,38,51,827,6946,5988,1461,48,4051,4384,1267,1345,1008,724,116,194,11615,2095,6376,2224,10839,1306,426,607
81,02158,2158,4912,6671,62.1542916,-163.3967883, Alaska,Kusilvak Census Area,8314,8250,395,3134,4785,2231,91,299,8,7640,8,8,0,257,4497,3816,399,35,8314,2003,457,964,3242,773,365,2103,6559,482,1521,1654,5429,7316,0,216
82,02164,2164,1240,409,58.62403337,-156.2140589, Alaska,Lake and Peninsula Borough,1592,1393,214,747,631,1479,1,334,17,1111,27,6,1,93,856,735,90,6,1592,554,124,221,262,98,33,27,1400,52,471,531,1039,759,25,342
83,02170,2170,40705,116704,62.31305045,-149.5741743, Alaska,Matanuska-Susitna Borough,106841,105369,30364,57605,18872,41815,5235,84618,1175,6410,1495,213,106,7478,55557,51283,14744,450,53730,37608,12073,14209,11004,4273,2029,1388,99255,1816,43377,15812,92524,3632,2136,7692
84,02180,2180,7597,2080,64.90320724,-164.0353804, Alaska,Nome Census Area,9882,9988,918,4358,4606,4108,266,1452,79,7342,148,9,0,563,5207,4674,602,42,6528,2796,691,958,2124,573,395,1462,8360,494,3063,2045,7322,5573,29,385
85,02185,2185,5508,6609,69.31479216,-153.4836093, Alaska,North Slope Borough,9799,9792,1140,6053,2606,2618,195,3027,137,4977,529,186,0,734,5987,3811,695,40,5813,3449,676,1009,989,666,225,1254,8789,627,6565,1822,6839,3782,9,774
86,02188,2188,5752,7163,67.04919196,-159.7503946, Alaska,Northwest Arctic Borough,7575,7715,545,3356,3674,2745,113,818,83,6219,75,7,0,265,4113,3461,431,33,4352,2105,568,712,1977,583,333,1507,6249,310,2302,1946,5810,4984,0,257
87,02195,2195,926,2868,57.13978948,-132.9540995, Alaska,Petersburg Borough,3266,3257,662,1969,635,1782,382,2139,32,238,150,19,6,297,1727,1538,375,13,3266,1397,718,620,186,163,29,42,2929,146,1453,313,2681,516,35,258
88,02198,2198,1841,4366,55.76261984,-133.0511621, Alaska,Prince of Wales-Hyder Census Area,6203,6407,998,2890,2315,3430,241,2809,31,2388,86,37,6,607,3368,2834,564,26,6203,2561,992,1346,1073,223,136,117,5632,18,2171,1532,4081,657,130,719
89,02220,2220,3508,3436,57.24124555,-135.3206587, Alaska,Sitka City and Borough,8477,8640,2304,4451,1722,4225,576,5221,59,1042,567,8,16,991,4357,4119,762,35,1769,3348,1288,1051,737,381,93,76,8027,237,4136,1381,7137,1118,262,406
90,02230,2230,675,7,59.56149996,-135.3337748, Alaska,Skagway Municipality,1183,1107,381,531,271,601,67,971,39,60,9,0,3,31,647,535,73,3,1183,477,138,147,75,41,9,37,1120,13,656,215,997,113,11,56
91,02240,2240,2468,9539,63.87692095,-143.2127643, Alaska,Southeast Fairbanks Census Area,6893,6878,1771,3552,1570,3904,420,5080,20,958,186,6,0,234,3777,3115,965,27,6893,2536,937,1226,751,199,82,199,6196,468,2957,1178,4935,310,268,1433
92,02261,2261,0,0,61.47502768,-144.7126799, Alaska,Valdez-Cordova Census Area,9174,9243,2221,4386,2567,6181,477,6357,36,1275,376,55,36,559,4807,4366,1201,37,9174,3495,1128,944,715,284,192,155,8751,256,4531,1761,7375,605,256,1165
93,02275,2275,796,407,56.3202004,-132.0583731, Alaska,Wrangell City and Borough,2502,2502,393,1655,454,1512,125,1548,0,555,17,10,0,245,1356,1145,275,10,2502,1235,567,442,195,47,45,20,2164,7,940,470,1846,325,10,265
94,02282,2282,975,2526,59.8909808,-140.3601451, Alaska,Yakutat City and Borough,579,649,108,297,174,418,44,250,4,209,28,6,0,34,317,261,46,1,579,213,83,64,42,13,10,8,528,26,220,137,415,74,15,112
95,02290,2290,1742,5844,65.50815459,-151.3907387, Alaska,Yukon-Koyukuk Census Area,5230,5377,508,2136,2586,4090,141,1129,5,3577,36,0,0,345,2798,2431,507,24,5230,1840,747,821,1328,298,125,376,4497,104,1589,1417,2243,2745,99,590
96,04001,4001,35848,415600,35.39465006,-109.4892383, Arizona,Apache County,71232,71511,7439,26169,37624,32891,4487,12964,356,52070,213,0,71,997,35046,36185,4202,357,52754,24931,10684,10684,25287,4772,854,4701,57270,11254,21583,17879,26996,9117,1638,7693
97,04003,4003,38971,334590,31.87934684,-109.7516088, Arizona,Cochise County,123596,125867,32374,60946,30276,61108,43876,67977,4573,1112,2348,370,247,3089,62786,60809,23730,547,44865,50797,26820,21382,20516,6797,1606,865,108022,9887,57224,9640,98753,6797,4696,12606
98,04005,4005,52627,330824,35.83883429,-111.7707178, Arizona,Coconino County,131295,141274,36072,63104,32119,66086,18512,71030,1444,33874,2494,262,131,3676,64859,66435,8665,612,41318,40307,15755,16280,23107,5120,2100,4201,118821,6958,53043,14705,102672,6433,2888,13523
99,04007,4007,21354,238016,33.80190085,-110.8132779, Arizona,Gila County,53615,53546,10407,24563,18645,33542,10026,33402,321,8632,428,0,0,804,26539,27075,6916,237,22014,26914,15226,11527,11580,1715,643,911,46269,2037,22035,5361,35493,3163,2144,1876
100,04009,4009,14078,103777,32.93166885,-109.8882178, Arizona,Graham County,36046,37996,8598,18543,8905,13586,11895,18347,648,4505,216,36,0,360,19284,16761,2523,151,16739,12111,4938,4073,8146,2487,432,756,30747,2018,14238,2487,27358,2126,937,4541
101,04011,4011,2711,17915,33.21498827,-109.2405279, Arizona,Greenlee County,9466,9522,2260,5190,2016,4453,4430,4411,189,340,47,0,0,37,4950,4515,880,36,4408,3265,1173,1126,1258,227,359,369,8339,473,4638,435,7781,160,160,1628
